ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,Code,description
137e2f61-ac24-4e4d-8d8f-93b79230faa5,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Integrated Telecommunication Services,,,,,,,,4,50101020,Operators of primarily fixed-line telecommunications networks and companies providing both wireless and fixed-line telecommunications services not classified elsewhere. Also includes internet service providers offering internet access to end users.
5635230f-d1b4-44f8-95b8-cce38658c9a5,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Wireless Telecommunication Services,,,,,,,,3,501020,
b0ad44f3-e2d1-45d8-a799-2bb45cdd2126,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Wireless Telecommunication Services,,,,,,,,4,50102010,Providers of primarily cellular or wireless telecommunication services.
e21b3433-8969-486a-ba45-c19516cdbcec,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Media & Entertainment,,,,,,,,2,5020,
01cacd4d-82c7-4911-800b-4cc1b1c8fa81,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Media,,,,,,,,3,502010,
fdcc0ef5-6b91-4a19-8586-d33ab386f8e2,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Advertising,,,,,,,,4,50201010,"Companies providing advertising, marketing or public relations services."
2956a878-d848-45a1-b937-7b21b432369e,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Broadcasting,,,,,,,,4,50201020,"Owners and operators of television or radio broadcasting systems, including programming. Includes radio and television broadcasting, radio networks, and radio stations."
415c8264-07c3-46d6-a183-0de24af420bf,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Cable & Satellite,,,,,,,,4,50201030,Providers of cable or satellite television services. Includes cable networks and program distribution.
24a3630b-4fd4-4ee0-b197-d68a246d2bfb,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Publishing,,,,,,,,4,50201040,"Publishers of newspapers, magazines and books in print or electronic formats."
902eed68-abb3-445f-867c-7e330a972ade,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Entertainment,,,,,,,,3,502020,
d304d7ca-82ac-43c6-b511-cc23098cee1f,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Movies & Entertainment,,,,,,,,4,50202010,"Companies that engage in producing and selling entertainment products and services, including companies engaged in the production, distribution and screening of movies and television shows, producers and distributors of music, entertainment theaters and sports teams. Also includes companies offering and/or producing entertainment content streamed online."
4afc67c4-f1d5-426d-886f-f69ca06ce269,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Interactive Home Entertainment,,,,,,,,4,50202020,"Producers of interactive gaming products, including mobile gaming applications. Also includes educational software used primarily in the home. Excludes online gambling companies classified in the Casinos & Gaming Sub-Industry."
95a64008-89cf-4360-8822-e037b3a6133b,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Interactive Media & Services,,,,,,,,3,502030,
636e130a-abce-46e6-8609-db268dabb626,Attribute,f7b04be5-cbc7-48a5-b180-95552dd24b28,Interactive Media & Services,,,,,,,,4,50203010,"Companies engaging in content and information creation or distribution through proprietary platforms, where revenues are derived primarily through pay-per-click advertisements. Includes search engines, social media and networking platforms, online classifieds, and online review companies. Excludes companies operating online marketplaces classified in Internet & Direct Marketing Retail."
12744e03-9a6e-4644-b31b-13584be7faa3,Object,a6fc45a0-167a-4a08-a37f-8ddf1befc5d4,Utilities,,,,,,,,1,55,
16001be1-29ae-4ef8-bc3e-3fcc25f47cb8,Attribute,12744e03-9a6e-4644-b31b-13584be7faa3,Utilities,,,,,,,,2,5510,
750e22eb-fd97-4dc0-8bc6-75ffa02787bf,Attribute,12744e03-9a6e-4644-b31b-13584be7faa3,Electric Utilities,,,,,,,,3,551010,
451e911b-bea3-46b1-8c94-cea47af961b4,Attribute,12744e03-9a6e-4644-b31b-13584be7faa3,Electric Utilities,,,,,,,,4,55101010,Companies that produce or distribute electricity. Includes both nuclear and non-nuclear facilities.
74bef08a-12c4-4352-8b78-5ce45c6c265b,Attribute,12744e03-9a6e-4644-b31b-13584be7faa3,Gas Utilities,,,,,,,,3,551020,
01a2b35f-7594-41fd-b40d-4737ef517722,Attribute,12744e03-9a6e-4644-b31b-13584be7faa3,Gas Utilities,,,,,,,,4,55102010,"Companies whose main charter is to distribute and transmit natural and manufactured gas. Excludes companies primarily involved in gas exploration or production classified in the Oil & Gas Exploration & Production Sub-Industry. Also excludes companies engaged in the storage and/or transportation of oil, gas, and/or refined products classified in the Oil & Gas Storage & Transportation Sub-Industry."
9a0a36e9-3da3-403c-b5d2-f37c6e0cfa10,Attribute,12744e03-9a6e-4644-b31b-13584be7faa3,Multi-Utilities,,,,,,,,3,551030,
0fb0c8ee-b5ac-4389-87f5-dc4e4d60dacb,Attribute,12744e03-9a6e-4644-b31b-13584be7faa3,Multi-Utilities,,,,,,,,4,55103010,"Utility companies with significantly diversified activities in addition to core Electric Utility, Gas Utility and/or Water Utility operations."
1f4acd29-348e-430b-98bd-0d8da4dcbcef,Attribute,12744e03-9a6e-4644-b31b-13584be7faa3,Water Utilities,,,,,,,,3,551040,
4848d82f-fa4c-43e5-a98e-4369a5269808,Attribute,12744e03-9a6e-4644-b31b-13584be7faa3,Water Utilities,,,,,,,,4,55104010,Companies that purchase and redistribute water to the end-consumer. Includes large-scale water treatment systems.
