ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,Code Group,Mapping ID,Code
37b7f70c-d812-4fb9-82cd-890305c2e913,Attribute,594d8c93-f9ce-455c-92f6-d2b9c14b3410,Unlicensed Carriers,,,,,,,,5,UK SIC,53202,53202
8a802573-16fd-4bc1-95d4-9581fe73c3ab,Object,b3fdc15d-f273-4116-9ad3-4c3e2b6bb06c,ACCOMMODATION AND FOOD SERVICE ACTIVITIES,,,,,,,,1,UK SIC,I,
976e4a92-3716-492c-96f6-c0f743aa3600,Group,8a802573-16fd-4bc1-95d4-9581fe73c3ab,Accommodation,,,,,,,,2,UK SIC,55,55
530291c6-0d40-47c5-8b69-09afee00585b,Group,976e4a92-3716-492c-96f6-c0f743aa3600,Hotels and similar accommodation,,,,,,,,3,UK SIC,55.1,551
c68f56c4-1543-4f62-8858-6d637d3ca3de,Attribute,530291c6-0d40-47c5-8b69-09afee00585b,Hotels and similar accommodation,,,,,,,,4,UK SIC,5510,5510
f7ba991d-e16a-4a2f-af6c-3bab3bf976c9,Group,976e4a92-3716-492c-96f6-c0f743aa3600,Holiday and other short-stay accommodation,,,,,,,,3,UK SIC,55.2,552
4e3defd5-8a49-455a-acd7-89029a9dfd16,Group,f7ba991d-e16a-4a2f-af6c-3bab3bf976c9,Holiday and other short-stay accommodation,,,,,,,,4,UK SIC,5520,5520
5098855d-7d26-45ff-8bf0-a2f17b310375,Attribute,4e3defd5-8a49-455a-acd7-89029a9dfd16,Holiday centres and villages,,,,,,,,5,UK SIC,55201,55201
f9b8397e-a74c-49fc-adfb-45abbd7f782a,Attribute,4e3defd5-8a49-455a-acd7-89029a9dfd16,Youth hostels,,,,,,,,5,UK SIC,55202,55202
0c303ed4-2acf-4217-9651-4b366607a04d,Attribute,4e3defd5-8a49-455a-acd7-89029a9dfd16,Other holiday and other short-stay accommodation (not including holiday centres and villages or youth hostels) n.e.c.,,,,,,,,5,UK SIC,55209,55209
2ca4892a-a50b-4560-8c7e-e34cb707ec7f,Group,976e4a92-3716-492c-96f6-c0f743aa3600,"Camping grounds, recreational vehicle parks and trailer parks",,,,,,,,3,UK SIC,55.3,553
9a2924f6-1c63-42f7-97a0-c09d801cd7d6,Attribute,2ca4892a-a50b-4560-8c7e-e34cb707ec7f,"Camping grounds, recreational vehicle parks and trailer parks",,,,,,,,4,UK SIC,5530,5530
cfc0b9c8-abe9-40cf-b373-df73945b06d0,Group,976e4a92-3716-492c-96f6-c0f743aa3600,Other accommodation,,,,,,,,3,UK SIC,55.9,559
bcc1e353-5189-443d-9cb5-bdb3a7720c80,Attribute,cfc0b9c8-abe9-40cf-b373-df73945b06d0,Other accommodation,,,,,,,,4,UK SIC,5590,5590
03f8acab-9358-488b-a75b-a18e7179ae38,Group,8a802573-16fd-4bc1-95d4-9581fe73c3ab,Food and beverage service activities,,,,,,,,2,UK SIC,56,56
