ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,level,Code Group,Level 0 Group,Code,Mapping ID
9052bfd4-bd37-4c69-bf68-590f67fb68e8,Attribute,af3d9891-5cd0-41fb-919e-e8ab4b6d06aa,"Plumbing, heat and air-conditioning installation",,,,,,,,4,ISIC Rev 4,,4322,4322
958bb43c-952a-4fdd-a82a-723bb72e143e,Attribute,af3d9891-5cd0-41fb-919e-e8ab4b6d06aa,Other construction installation,,,,,,,,4,ISIC Rev 4,,4329,4329
3503ad96-879e-4bf6-a1d0-aab41c1b2b45,Group,2c078f45-e98d-4263-92ad-8fcfa5df4fb2,Building completion and finishing,,,,,,,,3,ISIC Rev 4,,433,433
71f2d589-dbea-4fa9-9805-69a2f1554539,Attribute,3503ad96-879e-4bf6-a1d0-aab41c1b2b45,Building completion and finishing,,,,,,,,4,ISIC Rev 4,,4330,4330
677db1d6-3586-4a17-b73b-825bf6991350,Group,2c078f45-e98d-4263-92ad-8fcfa5df4fb2,Other specialized construction activities,,,,,,,,3,ISIC Rev 4,,439,439
2fe642aa-677c-4e83-8e5a-543003bf655e,Attribute,677db1d6-3586-4a17-b73b-825bf6991350,Other specialized construction activities,,,,,,,,4,ISIC Rev 4,,4390,4390
3cd71aa7-1263-42f3-9826-ddc3a873415e,Object,6ae6f75c-37b3-4190-851d-686b114eeb81,Wholesale and retail trade; repair of motor vehicles and motorcycles,,,,,,,,1,ISIC Rev 4,G,G,G
19c36fe3-8786-47d8-aa33-72aff3d3da7a,Group,3cd71aa7-1263-42f3-9826-ddc3a873415e,Wholesale and retail trade and repair of motor vehicles and motorcycles,,,,,,,,2,ISIC Rev 4,G,45,45
3616e875-1a82-4475-81f7-a7b3209e3976,Group,19c36fe3-8786-47d8-aa33-72aff3d3da7a,Sale of motor vehicles,,,,,,,,3,ISIC Rev 4,,451,451
0212c95b-049d-44d0-9e90-bc15a3d7d722,Attribute,3616e875-1a82-4475-81f7-a7b3209e3976,Sale of motor vehicles,,,,,,,,4,ISIC Rev 4,,4510,4510
47b1244b-20cb-40c5-886f-0e4a825797c3,Group,19c36fe3-8786-47d8-aa33-72aff3d3da7a,Maintenance and repair of motor vehicles,,,,,,,,3,ISIC Rev 4,,452,452
e34ce46a-d1e8-43d8-83e7-30e219c0e59d,Attribute,47b1244b-20cb-40c5-886f-0e4a825797c3,Maintenance and repair of motor vehicles,,,,,,,,4,ISIC Rev 4,,4520,4520
