ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,Code
6d927327-3bc5-4898-a181-81754f59347c,Attribute,500bc18d-8e27-42d9-8aa6-3d24978d4ee8,Home Builders,,,,,,,,IF-HB
65c66f0c-3f71-426f-b7b5-10b45fc4f02b,Attribute,500bc18d-8e27-42d9-8aa6-3d24978d4ee8,Real Estate,,,,,,,,IF-RE
1a18ceb2-136f-4b53-ab92-177fcb482779,Attribute,500bc18d-8e27-42d9-8aa6-3d24978d4ee8,Real Estate Services,,,,,,,,IF-RS
320ff17d-6a00-48f3-8b8c-2246c81fb41b,Group,5576bb2b-7517-4e3b-822f-725fee8682ef,Waste Management,,,,,,,,IF.4
5ab57200-f365-4e41-92ce-54a01863827b,Attribute,320ff17d-6a00-48f3-8b8c-2246c81fb41b,Waste Management,,,,,,,,IF-WM
ba85a25f-12aa-485a-89c4-f1cee6764bf9,Object,61a5b282-e908-4fc3-9895-43fc717cf499,Renewable Resources & Alternative Energy,,,,,,,,RR
f0747222-c4a0-4376-9ea9-f8ed51e50921,Group,ba85a25f-12aa-485a-89c4-f1cee6764bf9,Alternative Energy,,,,,,,,RR.1
d0770a0f-804e-4b1d-ab17-eae9348020d1,Attribute,f0747222-c4a0-4376-9ea9-f8ed51e50921,Biofuels,,,,,,,,RR-BI
a3d43acc-4e05-43e2-ab3f-6e1498dca46d,Attribute,f0747222-c4a0-4376-9ea9-f8ed51e50921,Fuel Cells & Industrial Batteries,,,,,,,,RR-FC
62d550d3-310c-413b-ab42-e72cabcf3119,Attribute,f0747222-c4a0-4376-9ea9-f8ed51e50921,Solar Technology & Project Developers,,,,,,,,RR-ST
