ID,TYPE,PARENT,NAME,SOURCE,TARGET,REFERENCE_MODEL_ID,TERM_ID,LABEL,,PROPERTIES:,NACE Code (EU Taxonomy Format),EU Taxonomy Activity Code,Description,Criteria,NACE Codes
362d9c6f-f6ad-4065-b6de-e9af42fd4665,Attribute,d3e63ee0-817f-4f0d-8003-75119a44c2dc,A2.4.0 - Support services to forestry,,,,,,,,A2.40,,,,
08fd5b9d-6557-450a-bd60-b487d362970c,Group,8e36c23d-78a8-46c9-b2c1-a87dc766368a,A3 - Fishing and aquaculture,,,,,,,,A3,,,,
d45742d3-4beb-4a5c-b447-9b5176042667,Group,08fd5b9d-6557-450a-bd60-b487d362970c,A3.1 - Fishing,,,,,,,,A3.1,,,,
6014e819-5795-43fa-85fd-e4d31cdafeaa,Attribute,d45742d3-4beb-4a5c-b447-9b5176042667,A3.1.1 - Marine fishing,,,,,,,,A3.11,,,,
9975e604-5695-4043-b3aa-8ea90b46a10c,Attribute,d45742d3-4beb-4a5c-b447-9b5176042667,A3.1.2 - Freshwater fishing,,,,,,,,A3.12,,,,
3cf4864d-abfb-44b2-bec7-ce7fc51d30b5,Group,08fd5b9d-6557-450a-bd60-b487d362970c,A3.2 - Aquaculture,,,,,,,,A3.2,,,,
f1f9ba66-7e03-4e8e-9eb6-69ec65c8e57d,Attribute,3cf4864d-abfb-44b2-bec7-ce7fc51d30b5,A3.2.1 - Marine aquaculture,,,,,,,,A3.21,,,,
8306549f-995d-4358-813e-2451dc4fdbd0,Attribute,3cf4864d-abfb-44b2-bec7-ce7fc51d30b5,A3.2.2 - Freshwater aquaculture,,,,,,,,A3.22,,,,
130f06db-b8a2-4dc9-95b7-8cab5a760e66,Object,48a81836-a32d-4c7e-99fd-e66ba6cf1d52,B - Mining and quarrying,,,,,,,,B,,,,
62e73f2f-7874-4984-843b-cf2de1de988f,Group,130f06db-b8a2-4dc9-95b7-8cab5a760e66,B5 - Mining of coal and lignite,,,,,,,,B5,,,,
355e26ec-c46a-4266-9b89-62e69a8e72cd,Group,62e73f2f-7874-4984-843b-cf2de1de988f,B5.1 - Mining of hard coal,,,,,,,,B5.1,,,,
dd42c2cb-0805-4897-ab54-98019aa2f814,Attribute,355e26ec-c46a-4266-9b89-62e69a8e72cd,B5.1.0 - Mining of hard coal,,,,,,,,B5.10,,,,
7053d3e1-29d4-42bd-9007-cd19ae2879fc,Group,62e73f2f-7874-4984-843b-cf2de1de988f,B5.2 - Mining of lignite,,,,,,,,B5.2,,,,
5aa3079b-c215-45fc-af45-de5578553b13,Attribute,7053d3e1-29d4-42bd-9007-cd19ae2879fc,B5.2.0 - Mining of lignite,,,,,,,,B5.20,,,,
c00409a1-97c3-4bff-89fc-60a76a2c98c2,Group,130f06db-b8a2-4dc9-95b7-8cab5a760e66,B6 - Extraction of crude petroleum and natural gas,,,,,,,,B6,,,,
4eb39d26-fa22-4b78-874c-1ad1af4e4699,Group,c00409a1-97c3-4bff-89fc-60a76a2c98c2,B6.1 - Extraction of crude petroleum,,,,,,,,B6.1,,,,
4430deee-b40e-4b95-8f86-5dce0082ffd6,Attribute,4eb39d26-fa22-4b78-874c-1ad1af4e4699,B6.1.0 - Extraction of crude petroleum,,,,,,,,B6.10,,,,
8534d689-812f-4bfe-bd96-f3504210ff36,Group,c00409a1-97c3-4bff-89fc-60a76a2c98c2,B6.2 - Extraction of natural gas,,,,,,,,B6.2,,,,
df196e01-c709-48be-acb0-ddac7a2105e4,Attribute,8534d689-812f-4bfe-bd96-f3504210ff36,B6.2.0 - Extraction of natural gas,,,,,,,,B6.20,,,,
4a2ae37d-ce91-45ad-aa0f-ea1e5b9cb5bc,Group,130f06db-b8a2-4dc9-95b7-8cab5a760e66,B7 - Mining of metal ores,,,,,,,,B7,,,,
